path	domain	baseline
.github/ISSUE_TEMPLATE/bug_report.yml	build-release-tooling	d56f972b
.github/ISSUE_TEMPLATE/config.yml	build-release-tooling	d56f972b
.github/PULL_REQUEST_TEMPLATE.md	build-release-tooling	d56f972b
.github/actionlint.yaml	build-release-tooling	d56f972b
.github/actions/install-dependencies/action.yml	build-release-tooling	d56f972b
.github/dependabot.yml	build-release-tooling	d56f972b
.github/test-durations/windows-x64.json	build-release-tooling	d56f972b
.github/workflows/ci.yml	build-release-tooling	d56f972b
.github/workflows/database-migration-lineage.yml	build-release-tooling	d56f972b
.github/workflows/provider-contract-drift.yml	build-release-tooling	d56f972b
.github/workflows/release-platforms.yml	build-release-tooling	d56f972b
benchmarks/data-throughput.test.ts	performance	d56f972b
benchmarks/renderer-primitives.test.ts	performance	d56f972b
scripts/architecture/analyzer.mjs	build-release-tooling	d56f972b
scripts/benchmark-websocket-compression.mjs	build-release-tooling	d56f972b
scripts/bounded-command-trampoline.mjs	build-release-tooling	d56f972b
scripts/bounded-process-tree.d.mts	build-release-tooling	d56f972b
scripts/bounded-process-tree.mjs	build-release-tooling	d56f972b
scripts/build-private-connect.mjs	build-release-tooling	d56f972b
scripts/build-runtime-process-guardian.mjs	build-release-tooling	d56f972b
scripts/capture-readme-screenshots.mjs	build-release-tooling	d56f972b
scripts/check-architecture.mjs	build-release-tooling	d56f972b
scripts/check-node-runtime-compatibility.mjs	build-release-tooling	d56f972b
scripts/check-renderer-bundle.mjs	build-release-tooling	d56f972b
scripts/check-workflow-concurrency.d.mts	build-release-tooling	d56f972b
scripts/check-workflow-concurrency.mjs	build-release-tooling	d56f972b
scripts/ci/change-classifier.d.mts	build-release-tooling	d56f972b
scripts/ci/change-classifier.mjs	build-release-tooling	d56f972b
scripts/ci/download-windows-n-minus-one.mjs	build-release-tooling	d56f972b
scripts/ci/evidence-plan.d.mts	build-release-tooling	d56f972b
scripts/ci/evidence-plan.mjs	build-release-tooling	d56f972b
scripts/ci/merge-ready.mjs	build-release-tooling	d56f972b
scripts/ci/plan-workflow.mjs	build-release-tooling	d56f972b
scripts/ci/platforms.json	build-release-tooling	d56f972b
scripts/ci/portable-test-manifest.d.mts	build-release-tooling	d56f972b
scripts/ci/portable-test-manifest.mjs	build-release-tooling	d56f972b
scripts/ci/run-browser-evidence-cpu-budget.mjs	build-release-tooling	d56f972b
scripts/ci/run-portable-tests.mjs	build-release-tooling	d56f972b
scripts/ci/run-repeated-lifecycle.mjs	build-release-tooling	d56f972b
scripts/ci/settled-job-evidence.d.mts	build-release-tooling	d56f972b
scripts/ci/settled-job-evidence.mjs	build-release-tooling	d56f972b
scripts/ci/validation-baseline.d.mts	build-release-tooling	d56f972b
scripts/ci/validation-baseline.mjs	build-release-tooling	d56f972b
scripts/ci/windows-test-shards.d.mts	build-release-tooling	d56f972b
scripts/ci/windows-test-shards.mjs	build-release-tooling	d56f972b
scripts/color-palette.d.mts	build-release-tooling	d56f972b
scripts/color-palette.mjs	build-release-tooling	d56f972b
scripts/color-theme-spec.d.mts	build-release-tooling	d56f972b
scripts/color-theme-spec.mjs	build-release-tooling	d56f972b
scripts/electron-builder.release.cjs	build-release-tooling	d56f972b
scripts/electron-runtime-preparation.d.mts	build-release-tooling	d56f972b
scripts/electron-runtime-preparation.mjs	build-release-tooling	d56f972b
scripts/ensure-node-pty-helper.mjs	build-release-tooling	d56f972b
scripts/generate-color-themes.d.mts	build-release-tooling	d56f972b
scripts/generate-color-themes.mjs	build-release-tooling	d56f972b
scripts/generate-database-fixtures.mjs	build-release-tooling	d56f972b
scripts/generate-icons.mjs	build-release-tooling	d56f972b
scripts/generate-third-party-notices.mjs	build-release-tooling	d56f972b
scripts/linux-guarded-smoke.d.mts	build-release-tooling	d56f972b
scripts/linux-guarded-smoke.mjs	build-release-tooling	d56f972b
scripts/linux-installed-update-driver.mjs	build-release-tooling	d56f972b
scripts/linux-installed-update-smoke.mjs	build-release-tooling	d56f972b
scripts/linux-process-group.d.mts	build-release-tooling	d56f972b
scripts/linux-process-group.mjs	build-release-tooling	d56f972b
scripts/mascot/encode-pickup.py	build-release-tooling	d56f972b
scripts/mascot/pose-pickup.py	build-release-tooling	d56f972b
scripts/mascot/verify-pickup.py	build-release-tooling	d56f972b
scripts/native-binary-architecture.mjs	build-release-tooling	d56f972b
scripts/native-executable-probe.mjs	build-release-tooling	d56f972b
scripts/native-pty-probe.mjs	build-release-tooling	d56f972b
scripts/package-smoke-codex-fixture.cjs	build-release-tooling	d56f972b
scripts/package-smoke-history-runtime.mjs	build-release-tooling	d56f972b
scripts/package-smoke-history-storage.mjs	build-release-tooling	d56f972b
scripts/package-smoke-launch.mjs	build-release-tooling	d56f972b
scripts/package-smoke-legal-resources.mjs	build-release-tooling	d56f972b
scripts/package-smoke-path.mjs	build-release-tooling	d56f972b
scripts/package-smoke.mjs	build-release-tooling	d56f972b
scripts/prepare-canary-feed.mjs	build-release-tooling	d56f972b
scripts/provider-drift-acp-runtime.mjs	build-release-tooling	d56f972b
scripts/provider-drift-environment.d.mts	build-release-tooling	d56f972b
scripts/provider-drift-environment.mjs	build-release-tooling	d56f972b
scripts/provider-drift-opencode-runtime.mjs	build-release-tooling	d56f972b
scripts/provider-drift-probe.mjs	build-release-tooling	d56f972b
scripts/provider-drift-process.d.mts	build-release-tooling	d56f972b
scripts/provider-drift-process.mjs	build-release-tooling	d56f972b
scripts/provider-drift-sdk-runtime.mjs	build-release-tooling	d56f972b
scripts/provider-drift-sdk-surface.ts	build-release-tooling	d56f972b
scripts/provider-drift-staging.d.mts	build-release-tooling	d56f972b
scripts/provider-drift-staging.mjs	build-release-tooling	d56f972b
scripts/release-assets.mjs	build-release-tooling	d56f972b
scripts/release-container-smoke.mjs	build-release-tooling	d56f972b
scripts/release-sbom-diagnostic.mjs	build-release-tooling	d56f972b
scripts/release-sbom-root.mjs	build-release-tooling	d56f972b
scripts/renderer-bundle-imports.d.mts	build-release-tooling	d56f972b
scripts/renderer-bundle-imports.mjs	build-release-tooling	d56f972b
scripts/run-desktop-benchmark.mjs	build-release-tooling	d56f972b
scripts/run-electron-builder.mjs	build-release-tooling	d56f972b
scripts/run-electron-vitest.mjs	build-release-tooling	d56f972b
scripts/run-platform-benchmark.mjs	build-release-tooling	d56f972b
scripts/runtime-process-guardian-publication.d.mts	build-release-tooling	d56f972b
scripts/runtime-process-guardian-publication.mjs	build-release-tooling	d56f972b
scripts/runtime-status.vite.config.mjs	build-release-tooling	d56f972b
scripts/stable-release-latest.d.mts	build-release-tooling	d56f972b
scripts/stable-release-latest.mjs	build-release-tooling	d56f972b
scripts/validate-canary-feed-advance.d.mts	build-release-tooling	d56f972b
scripts/validate-canary-feed-advance.mjs	build-release-tooling	d56f972b
scripts/validate-linux-package.mjs	build-release-tooling	d56f972b
scripts/validate-release.mjs	build-release-tooling	d56f972b
scripts/verify-database-lineage.d.mts	build-release-tooling	d56f972b
scripts/verify-database-lineage.mjs	build-release-tooling	d56f972b
scripts/verify-electron-fuses.mjs	build-release-tooling	d56f972b
